,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
242,Sega Superstars Tennis,Sports,2008,Sega,4.720000000000001,71.0,83.0
243,Half-Life,Shooter,1997,Vivendi Games,4.72,96.0,91.0
244,Rock Band 2,Misc,2008,MTV Games,4.710000000000001,92.0,83.0
245,BioShock,Shooter,2007,Take-Two Interactive,4.66,96.0,89.0
246,Middle-Earth: Shadow of Mordor,Action,2014,Warner Bros. Interactive Entertainment,4.66,87.0,81.0
247,Uncharted: The Nathan Drake Collection,Action,2015,Sony Computer Entertainment,4.62,86.0,81.0
248,Animal Crossing: City Folk,Simulation,2008,Nintendo,4.62,73.0,76.0
249,Skate 3,Sports,2010,Electronic Arts,4.609999999999999,80.0,80.0
250,The Legend of Zelda: The Wind Waker,Action,2002,Nintendo,4.6,96.0,89.0
251,Luigi's Mansion: Dark Moon,Action,2013,Nintendo,4.59,86.0,84.0
252,Max Payne,Shooter,2001,Take-Two Interactive,4.58,89.0,91.0
253,Forza Motorsport 4,Racing,2011,Microsoft Game Studios,4.57,91.0,82.0
254,SoulCalibur II,Fighting,2003,Namco Bandai Games,4.5600000000000005,93.0,91.0
255,Portal 2,Shooter,2011,Valve Software,4.54,95.0,88.0
256,Call of Duty: Finest Hour,Shooter,2004,Activision,4.5,76.0,89.0
257,Halo 5: Guardians,Shooter,2015,Microsoft Game Studios,4.48,84.0,64.0
258,Marvel: Ultimate Alliance,Role-Playing,2006,Activision,4.4799999999999995,82.0,82.0
259,Madden NFL 2002,Sports,2001,Electronic Arts,4.47,94.0,80.0
260,God of War,Action,2005,Sony Computer Entertainment,4.45,94.0,89.0
261,Splatoon,Shooter,2015,Nintendo,4.43,81.0,85.0
262,Nintendo Land,Misc,2012,Nintendo,4.42,77.0,79.0
263,Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,4.409999999999999,82.0,84.0
264,Midnight Club 3: DUB Edition,Racing,2005,Take-Two Interactive,4.39,84.0,84.0
265,The Sims 2,Simulation,2005,Electronic Arts,4.37,90.0,88.0
266,Tekken 6,Fighting,2009,Namco Bandai Games,4.37,82.0,82.0
267,Resistance: Fall of Man,Shooter,2006,Sony Computer Entertainment,4.34,86.0,81.0
268,Kingdom Hearts II,Role-Playing,2005,Square Enix,4.33,87.0,90.0
269,Left 4 Dead 2,Shooter,2009,['Electronic Arts' 'Valve Software'],4.33,89.0,86.0
270,Super Mario 3D World,Platform,2013,Nintendo,4.32,93.0,90.0
271,BioShock Infinite,Shooter,2013,Take-Two Interactive,4.28,94.0,85.0
272,Guitar Hero: Aerosmith,Misc,2008,Activision,4.28,73.0,72.0
273,Fable II,Role-Playing,2008,Microsoft Game Studios,4.27,89.0,65.0
274,ESPN NFL 2K5,Sports,2004,Sega,4.25,92.0,91.0
275,Metal Gear Solid V: The Phantom Pain,Action,2015,Konami Digital Entertainment,4.24,95.0,82.0
276,Metal Gear Solid 3: Snake Eater,Action,2004,Konami Digital Entertainment,4.23,91.0,93.0
277,Mortal Kombat X,Fighting,2015,Warner Bros. Interactive Entertainment,4.21,86.0,77.0
278,Daxter,Platform,2006,Sony Computer Entertainment,4.21,85.0,87.0
279,EyeToy Play,Misc,2003,Sony Computer Entertainment,4.2,80.0,75.0
280,Need for Speed: The Run,Action,2011,Electronic Arts,4.19,69.0,64.0
281,Gran Turismo 5 Prologue,Racing,2007,Sony Computer Entertainment,4.19,80.0,71.0
282,LEGO Pirates of the Caribbean: The Video Game,Action,2011,Disney Interactive Studios,4.180000000000001,73.0,73.0
283,NBA 2K15,Sports,2014,Take-Two Interactive,4.17,83.0,70.0
284,The Beatles: Rock Band,Misc,2009,MTV Games,4.13,89.0,89.0
285,Call Of Duty 2: Big Red One,Shooter,2005,Activision,4.12,78.0,82.0
286,FIFA Soccer 2003,Sports,2002,Electronic Arts,4.11,88.0,78.0
287,Hitman: Absolution,Action,2012,Square Enix,4.11,83.0,75.0
288,The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,4.1,80.0,77.0
289,Sonic Generations,Platform,2011,Sega,4.09,77.0,83.0
290,World of Warcraft: The Burning Crusade,Role-Playing,2007,Activision,4.09,91.0,79.0
291,NBA 2K11,Action,2010,Take-Two Interactive,4.08,89.0,86.0
292,God of War II,Action,2007,Sony Computer Entertainment,4.07,93.0,89.0
293,Tekken Tag Tournament,Fighting,2000,Namco Bandai Games,4.05,85.0,85.0
294,Forza Motorsport 2,Racing,2007,Microsoft Game Studios,4.05,90.0,83.0
295,LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,4.05,81.0,75.0
296,pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,4.03,79.0,68.0
297,Dragon Ball Z: Budokai Tenkaichi 3,Fighting,2007,Atari,4.02,73.0,92.0
298,Burnout 3: Takedown,Racing,2004,Electronic Arts,3.99,94.0,91.0
299,Dead Space,Action,2008,Electronic Arts,3.9899999999999998,89.0,88.0
300,Tom Clancy's Ghost Recon,Shooter,2002,Ubisoft,3.97,84.0,83.0
301,The Legend of Zelda: Skyward Sword,Action,2011,Nintendo,3.95,93.0,80.0
